t, C	p*10^-5, Па	ро',кг/м3	h', кДж/кг	cp, кДж/кгС	Лямбда Вт/мС	а, м2/с *10^6	Мю, Па*с *10^6	Ню, м2/с *10^6	сигма, Н/м	Pr
0	1,013	999,900	0,000	4,212	56,900	13,200	1788,000	1,789	756,400	13,670
1	1,013	999,880	4,204	4,210	56,950	13,250	1739,800	1,741	754,920	13,255
2	1,013	999,844	11,771	4,206	57,040	13,340	1653,040	1,654	752,256	12,508
3	1,013	999,801	20,852	4,202	57,148	13,448	1548,928	1,549	749,059	11,612
4	1,013	999,760	29,327	4,197	57,249	13,549	1451,757	1,452	746,076	10,775
5	1,013	999,730	35,684	4,194	57,324	13,624	1378,878	1,379	743,838	10,147
6	1,013	999,712	39,497	4,192	57,370	13,670	1335,151	1,335	742,495	9,771
7	1,013	999,704	41,277	4,191	57,391	13,691	1314,745	1,315	741,869	9,595
8	1,013	999,701	41,887	4,191	57,398	13,698	1307,749	1,308	741,654	9,535
9	1,013	999,700	42,025	4,191	57,400	13,700	1306,175	1,306	741,605	9,522
10	1,0133	999,7	42,04	4,191	57,4	13,7	1306,000	1,306	741,6	9,52
11	1,013	999,700	42,040	4,191	57,400	13,700	1306,000	1,306	741,600	9,520
12	1,013	null	null	null	null	null	null	null	null	null
13	1,013	null	null	null	null	null	null	null	null	null
14	1,013	null	null	null	null	null	null	null	null	null
15	1,013	null	null	null	null	null	null	null	null	null
16	1,013	null	null	null	null	null	null	null	null	null
17	1,013	null	null	null	null	null	null	null	null	null
18	1,013	null	null	null	null	null	null	null	null	null
19	1,013	null	null	null	null	null	null	null	null	null
20	1,0133	998,2	83,91	4,183	59,9	14,3	null	null	null	null
30	1,0133	995,7	125,7	4,174	61,8	14,9	null	null	null	null
40	1,0133	992,2	167,5	4,174	63,5	15,3	null	null	null	null
50	1,0133	988,1	209,3	4,174	64,8	15,7	null	0,000000556	null	3,54
60	1,0133	983,2	251,1	4,179	65,9	16	null	0,000000478	null	2,93
70	1,0133	977,8	293	4,187	66,8	16,3	null	null	null	null
80	1,0133	971,8	335	4,195	67,4	16,6	null	null	null	null
90	1,0133	965,3	377	4,208	68	16,8	null	null	null	null
100	1,0133	958,4	419,1	4,22	68,3	16,9	282,5	0,295	7,52	1,75
102,66	1,1248338	956,4316	430,3518	4,223458	68,3532	16,9266	276,249	0,288882	7,66896	1,7101
110	1,4326	951	461,4	4,233	68,5	17	259	0,272	8,08	1,6
